,ev_id,ntsb_no,ev_date,ev_type,Aircraft_Key,aircraft category,flight purpose,acft_make,acft_model,homebuilt,num_eng,eng_no,eng_type,damage,far_part,regis_no,ev_city,ev_state,ev_country,latitude,longitude,ev_nr_apt_id,apt_name,ev_highest_injury,inj_tot_f,inj_tot_s,inj_tot_m,inj_tot_n,wx_cond_basic,Occurrence_No,broad phase of flight,specific phase of flight,Occurrence
39152,20201113102284,WPR21LA052,2020-11-11,ACC,1.0,Airplane,Personal,BELLANCA,7GCBC,N,1.0,1.0,REC,SUBS,091,N57517,Fallbrook,CA,USA,332121N,0117155W,L18,FALLBROOK AIRPARK,MINR,0.0,0.0,0.0,0.0,VMC,2.0,Initial Climb,Initial Climb,Loss of engine power (partial)
39153,20201116102294,CEN21LA060,2020-11-12,ACC,1.0,Airplane,Personal,PIPER,PA22,N,1.0,1.0,REC,SUBS,091,N3535A,Salem,IN,USA,038369N,0086843W,None,Private,NONE,0.0,0.0,0.0,1.0,VMC,2.0,Approach,Approach-VFR Pattern Final,Control flight into terr/obj
39154,20201112102277,WPR21FA048,2020-11-12,ACC,1.0,Airplane,Positioning,CESSNA,182,N,1.0,1.0,REC,DEST,091,N939CP,Los Angeles,CA,USA,341534N,1182448W,WHP,Whiteman,FATL,1.0,0.0,0.0,0.0,VMC,3.0,Approach,Approach,Powerplant sys/comp malf/fail
39155,20201112102275,CEN21LA055,2020-11-12,ACC,1.0,Airplane,Personal,CESSNA,182R,N,1.0,1.0,REC,SUBS,091,N7306H,Rockwall,TX,USA,325612N,0962611W,F46,Rockwall Municipal Airport,FATL,2.0,0.0,0.0,0.0,VMC,1.0,Approach,Approach-VFR Go-Around,Collision with terr/obj (non-CFIT)
39156,20201113102283,WPR21LA051,2020-11-12,ACC,1.0,Airplane,Personal,MAULE,MX7,N,1.0,1.0,REC,SUBS,091,N721P,Moab,UT,USA,381156N,1094223W,,,MINR,0.0,0.0,0.0,1.0,VMC,1.0,Unknown broad phase,Takeoff,Nose over/nose down
39157,20201113102285,WPR21LA053,2020-11-13,ACC,1.0,Weight shift,Personal,AIR CREATION,Buggy,N,1.0,1.0,REC,SUBS,091,N2764N,Benson,AZ,USA,315958N,1102129W,E95,Benson Municipal,NONE,0.0,0.0,0.0,1.0,VMC,2.0,Landing,Landing-Flare/Touchdown,Hard landing
39158,20201113102286,WPR21LA054,2020-11-13,ACC,1.0,Airplane,,General Atomics,MQ-9,N,1.0,,,DEST,PUBU,CBP233,Sierra Vista,AZ,USA,313518N,1102040W,FHU,Sierra Vista Municipal Airport,NONE,0.0,0.0,0.0,0.0,VMC,3.0,Approach,Approach-VFR Go-Around,Collision during takeoff/land
39159,20201118102301,ERA21LA044,2020-11-14,ACC,1.0,Airplane,Personal,CESSNA,305,N,1.0,1.0,REC,SUBS,091,N5179G,Ellenville,NY,USA,414340N,0742239W,N89,Joseph Y Resnick Airport,NONE,0.0,0.0,0.0,1.0,VMC,1.0,Landing,Landing,Nose over/nose down
39160,20201120102312,ERA21LA048,2020-11-14,ACC,1.0,Airplane,Personal,VANS,RV4,Y,1.0,1.0,REC,SUBS,091,N311SV,Milton,FL,USA,303757N,0865937W,2R4,Peter Prince Field,NONE,0.0,0.0,0.0,2.0,VMC,1.0,Landing,Landing-Landing Roll,Loss of control on ground
39161,20201119102304,DCA21LA024,2020-11-14,ACC,1.0,Airplane,,BOMBARDIER,CL600 2C10,N,2.0,,,,121,N778SK,Phoenix,AZ,USA,332614N,0112028W,PHX,Phoenix Sky Harbor Internation,SERS,0.0,1.0,1.0,60.0,VMC,1.0,Other,Other,Cabin safety event
39162,20201117102298,ERA21LA043,2020-11-14,ACC,1.0,Helicopter,Business,AEROSPATIALE,AS355,N,2.0,5.0,TS,SUBS,091,N712CA,Hammonton,NJ,USA,039402N,0744528W,N81,HAMMONTON MUNI,NONE,0.0,0.0,0.0,1.0,VMC,2.0,Unknown broad phase,Takeoff,Collision during takeoff/land
39163,20201117102297,WPR21LA056,2020-11-14,ACC,1.0,Airplane,Personal,CESSNA,172,N,1.0,1.0,REC,SUBS,091,N8278B,Howe,ID,USA,435550N,1125617W,,,MINR,0.0,0.0,0.0,0.0,VMC,4.0,Enroute,Enroute-Climb to cruise,Collision with terr/obj (non-CFIT)
39164,20201116102293,WPR21LA055,2020-11-14,ACC,1.0,Airplane,Positioning,CESSNA,152,N,1.0,1.0,REC,SUBS,091,N757PY,San Bernardino,CA,USA,034430N,1171617W,SBD,San Bernardino International A,MINR,0.0,0.0,0.0,0.0,VMC,3.0,Landing,Landing-Flare/Touchdown,Collision with terr/obj (non-CFIT)
39165,20201203102372,CEN21LA074,2020-11-15,ACC,1.0,Airplane,Personal,Zlin Aviation,Savage Cub-S,N,1.0,1.0,REC,SUBS,091,N9111,Francis,OK,USA,345229N,0963211W,None,Sand Bar - Canadian River,NONE,0.0,0.0,0.0,1.0,VMC,5.0,Landing,Landing-Landing Roll,Unknown Occurrence
39166,20201120102313,WPR21LA058,2020-11-15,ACC,1.0,Weight shift,Personal,AIR CREATION,Tanarg,N,1.0,1.0,REC,SUBS,091,N912U,Pahrump,NV,USA,361618N,1155942W,,,MINR,0.0,0.0,0.0,0.0,VMC,1.0,Maneuvering,Maneuvering-Low-alt flying,Collision with terr/obj (non-CFIT)
39167,20201120102311,ERA21LA047,2020-11-16,ACC,1.0,Airplane,Instructional,American Legend,AL3,N,1.0,1.0,REC,SUBS,091,N30BX,Greenville,NC,USA,353650N,0772044W,,,NONE,0.0,0.0,0.0,2.0,VMC,2.0,Emergency Descent,Emergency Descent,Off-field or emergency landing
39168,20201116102291,ERA21LA042,2020-11-16,ACC,1.0,Airplane,Personal,REPUBLIC,RC3,N,1.0,1.0,REC,SUBS,091,N451E,Advance,NC,USA,355412N,0802816W,,,SERS,0.0,1.0,1.0,0.0,VMC,1.0,Approach,Approach-VFR Pattern Final,Fuel exhaustion
39169,20201117102299,ANC21LA007,2020-11-16,ACC,1.0,Airplane,Personal,CESSNA,150L,N,1.0,1.0,REC,DEST,091,N18666,Colton,OR,USA,004530N,0122922W,,,FATL,2.0,0.0,0.0,0.0,IMC,2.0,Enroute,Enroute,Collision with terr/obj (non-CFIT)
39170,20201217102428,WPR21LA071,2020-11-17,ACC,1.0,Airplane,Personal,CO Z,COZY,Y,1.0,,,SUBS,091,N82V,Compton,CA,USA,335328N,1181437W,CPM,COMPTON/WOODLEY,MINR,0.0,0.0,0.0,0.0,VMC,2.0,Landing,Landing-Flare/Touchdown,Hard landing
39171,20201118102302,CEN21LA062,2020-11-17,ACC,1.0,Airplane,Personal,CESSNA,120,N,1.0,1.0,REC,SUBS,091,N2376N,Johnson City,KS,USA,373447N,1013559W,,,NONE,0.0,0.0,0.0,2.0,VMC,1.0,Maneuvering,Maneuvering-Low-alt flying,Collision with terr/obj (non-CFIT)
39172,20201120102310,ERA21LA046,2020-11-18,ACC,1.0,Helicopter,Instructional,ROBINSON,R44,N,1.0,1.0,REC,SUBS,091,N442JP,Austell,GA,USA,033505N,0843928W,,NONE,NONE,0.0,0.0,0.0,2.0,VMC,1.0,Maneuvering,Maneuvering-Hover,Dynamic Rollover
