ev_id,Aircraft_Key,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,lchg_userid,lchg_date,carb_fuel_injection,propeller_type,propeller_make,propeller_model,eng_time_total,eng_time_last_insp,eng_time_overhaul
"20080304X00257",1,1,"REC","CONT MOTOR","IO 520 SERIES",285,"HP",,"09/25/20 18:04:02","FINJ",,,,0,0,0
"20080306X00280",1,1,"TJ","Honeywell","TFE-731",3500,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
"20080318X00324",1,1,"REC","Wright","760A",130,"HP",,"09/25/20 18:04:02",,,,,0,0,0
"20080229X00253",1,1,"REC","Experimental TCM","TSIO-500-EXP",400,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080430X00565",1,1,"REC","Lycoming","O-360-A1H6",180,"HP",,"09/25/20 18:07:03","CARB",,,,0,0,0
"20080430X00565",1,2,"REC","Lycoming","LO-360-A1H6",180,"HP",,"09/25/20 18:07:03","CARB",,,,0,0,0
"20080324X00370",1,1,"REC","Lycoming","O-360",180,"HP","broda","05/17/22 13:29:53","CARB",,,,0,0,0
"20080312X00305",1,1,"TF","IAE","2500 A5",26500,"LBS",,"09/25/20 18:04:02","FINJ",,,,30454,0,0
"20080312X00305",1,2,"TF","IAE","2500 A5",26500,"LBS",,"09/25/20 18:04:02","FINJ",,,,29017,0,0
"20080306X00281",1,1,"REC","Continental","C-145",145,"HP",,"09/25/20 18:04:46","CARB",,,,0,0,0
"20080304X00258",1,1,"REC","Lycoming","IO-360-L2A",180,"HP",,"09/25/20 18:04:02","FINJ",,,,0,0,0
"20080305X00271",1,1,"REC","LYCOMING","O-360-A1D",180,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080416X00495",1,1,"REC","Lycoming","O-320-D3G",,,,"09/25/20 18:04:46",,,,,0,0,0
"20080413X00464",1,1,"TF","CFM International","CFM56-7B22",24000,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
"20080413X00464",1,2,"TF","CFM International","CFM56-7B22",24000,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
"20080321X00359",1,1,"REC","Continental","IO-520",,,,"09/25/20 18:04:46",,,,,0,0,0
"20080307X00283",1,1,"TF","CFM INTL","CFM-56-7",24000,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
"20080307X00283",1,2,"TF","CFM INTL","CFM-56-7",24000,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
"20080307X00283",2,1,"TF","CFM INTL","CFM-56-3",20000,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
"20080307X00283",2,2,"TF","CFM INTL","CFM-56-3",20000,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
"20080413X00463",1,1,"REC","Continental","O-470-U",230,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080416X00490",1,1,"REC","Lycoming","O-235-L2C",112,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080430X00566",1,1,"REC","Lycoming","HIO-360-D1A",180,"HP",,"09/25/20 18:07:03","FINJ",,,,0,0,0
"20080407X00435",1,1,"REC","Continental","C-145-2",,,,"09/25/20 18:06:16",,,,,0,0,0
"20080418X00518",1,1,"REC","Lycoming","O-360",131,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080318X00322",1,1,"TS","Turbomeca","Arrial 1 D",732,"HP",,"09/25/20 18:04:46",,,,,0,0,0
"20080311X00297",1,1,"TJ","Pratt & Whitney Canada","JT-15D-1A",2200,"LBS","broda","06/22/21 21:19:09",,,,,0,0,0
"20080311X00297",1,2,"TJ","Pratt & Whitney Canada","JT-15D-1A",2200,,"broda","06/22/21 21:19:09",,,,,0,0,0
"20080404X00430",1,1,"REC","Lycoming","O-320-D3",160,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080305X00272",1,1,"REC","CONT MOTOR","TSIO-520-UB",300,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080305X00265",1,1,"REC","Lycoming","IO-540-SER",300,"HP",,"09/25/20 18:04:02","FINJ",,,,0,0,0
